Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9
0.075900,-0.052477,-9.681732,0.000858,0.002269,0.001924,-592.991821,-329.175354,971.485718
0.075900,-0.088265,-9.667418,-0.001373,0.001104,0.005020,-593.130432,-326.195892,977.475281
-0.017149,-0.081108,-9.674574,-0.003404,0.002069,0.009181,-593.130432,-326.195892,977.475281
0.054427,-0.066793,-9.602999,-0.002238,-0.003358,0.003755,-593.130432,-326.195892,977.475281
0.075900,-0.088265,-9.638787,-0.001073,-0.002192,-0.004868,-593.130432,-326.195892,977.475281
0.061584,-0.052477,-9.595841,-0.003104,-0.001027,-0.005833,-593.130432,-326.195892,977.475281
0.004324,-0.066793,-9.610157,-0.000873,0.001204,-0.008929,-593.130432,-326.195892,977.475281
0.047269,-0.109738,-9.595841,0.000292,0.003234,-0.006698,-593.130432,-326.195892,977.475281
0.018639,-0.102580,-9.638787,0.004454,-0.000062,-0.002337,-593.130432,-326.195892,977.475281
0.018639,-0.088265,-9.738993,0.004354,-0.002092,-0.000106,-593.130432,-326.195892,977.475281
0.004324,-0.152683,-9.617313,0.001058,-0.006254,0.002124,-593.130432,-326.195892,977.475281
0.004324,-0.073950,-9.574368,-0.000108,-0.004023,0.000959,-591.749207,-315.779053,972.954102
-0.002834,-0.116895,-9.602999,0.001058,-0.000727,0.002989,-591.749207,-315.779053,972.954102
-0.009991,-0.052477,-9.567211,0.004154,-0.000627,0.005020,-591.749207,-315.779053,972.954102
0.061584,-0.045320,-9.581527,0.001923,0.000538,-0.000406,-591.749207,-315.779053,972.954102
0.004324,-0.066793,-9.617313,-0.000308,0.002569,-0.001372,-591.749207,-315.779053,972.954102
0.054427,-0.052477,-9.681732,-0.001273,0.005665,-0.006598,-591.749207,-315.779053,972.954102
0.040112,-0.066793,-9.667418,-0.000108,0.003434,-0.002237,-591.749207,-315.779053,972.954102
0.025797,-0.052477,-9.624472,-0.000008,0.003334,-0.003202,-591.749207,-315.779053,972.954102
-0.038621,-0.102580,-9.595841,-0.000973,0.000038,0.003289,-591.749207,-315.779053,972.954102
0.068742,-0.088265,-9.509951,0.001258,0.003134,0.004255,-591.749207,-315.779053,972.954102
0.018639,-0.073950,-9.624472,0.004354,0.000904,0.003089,-588.664795,-320.310028,974.413147
0.018639,-0.038162,-9.624472,0.002123,0.003999,-0.003402,-588.664795,-320.310028,974.413147
-0.024306,-0.095423,-9.681732,-0.000108,0.001769,-0.002237,-588.664795,-320.310028,974.413147
0.047269,-0.088265,-9.660259,-0.007465,0.001669,-0.001072,-588.664795,-320.310028,974.413147
-0.017149,-0.031005,-9.724678,-0.007365,-0.001627,0.006485,-588.664795,-320.310028,974.413147
0.083057,-0.138368,-9.667418,-0.008330,-0.002592,0.001059,-588.664795,-320.310028,974.413147
0.047269,-0.102580,-9.731835,-0.000773,-0.002492,-0.002237,-588.664795,-320.310028,974.413147
0.040112,-0.109738,-9.538581,0.005719,-0.001327,-0.007464,-588.664795,-320.310028,974.413147
0.054427,-0.081108,-9.667418,0.007749,0.001969,-0.007364,-588.664795,-320.310028,974.413147
0.061584,-0.088265,-9.567211,0.003388,0.003999,-0.000872,-588.664795,-320.310028,974.413147
0.068742,-0.145526,-9.645944,-0.000973,0.006030,0.001359,-587.125854,-321.829193,974.393250
0.040112,-0.159841,-9.710362,0.000192,0.004865,-0.000872,-587.125854,-321.829193,974.393250
-0.038621,-0.052477,-9.638787,0.003288,0.003699,-0.000772,-587.125854,-321.829193,974.393250
0.025797,-0.174156,-9.610157,0.003188,-0.000662,0.001459,-587.125854,-321.829193,974.393250
0.004324,-0.188471,-9.703205,-0.000108,-0.000562,0.008816,-587.125854,-321.829193,974.393250
-0.009991,-0.102580,-9.624472,-0.004269,0.001669,0.007651,-587.125854,-321.829193,974.393250
0.054427,-0.073950,-9.538581,-0.005234,-0.001627,0.002224,-587.125854,-321.829193,974.393250
0.032954,-0.088265,-9.595841,-0.000873,-0.004723,-0.002137,-587.125854,-321.829193,974.393250
0.025797,-0.116895,-9.631629,0.001358,-0.009949,-0.004168,-587.125854,-321.829193,974.393250
0.047269,-0.116895,-9.653102,0.000192,-0.006654,0.002324,-591.508911,-332.189972,977.458252
0.097372,-0.059635,-9.617313,-0.003104,-0.006554,0.006485,-591.508911,-332.189972,977.458252
0.018639,-0.166998,-9.531424,-0.003004,-0.004323,0.006385,-591.508911,-332.189972,977.458252
0.032954,-0.081108,-9.581527,0.002423,-0.002092,0.000959,-591.508911,-332.189972,977.458252
0.025797,-0.102580,-9.560054,0.005519,0.002269,-0.004468,-591.508911,-332.189972,977.458252
0.054427,-0.023847,-9.595841,0.005419,0.003234,-0.003302,-591.508911,-332.189972,977.458252
